Time_s,Raw_Theta_deg
7.652874184349886377e+01,7.476732491785447188e+00
7.653707467688775523e+01,7.476732491785447188e+00
7.654540751027663248e+01,7.476732491785447188e+00
7.655374034366552394e+01,7.476732491785447188e+00
7.656207317705440119e+01,1.162866657288108030e+01
7.657040601044327843e+01,1.162866657288108030e+01
7.657873884383216989e+01,1.162866657288108030e+01
7.658707167722104714e+01,1.162866657288108030e+01
7.659540451060992439e+01,1.667456875250823956e+01
7.660373734399881585e+01,1.667456875250823956e+01
7.661207017738769309e+01,1.667456875250823956e+01
7.662040301077658455e+01,1.667456875250823956e+01
7.662873584416546180e+01,2.070505055727283050e+01
7.663706867755433905e+01,2.070505055727283050e+01
7.664540151094323051e+01,2.070505055727283050e+01
7.665373434433210775e+01,2.070505055727283050e+01
7.666206717772099921e+01,2.568685341215960349e+01
7.667040001110987646e+01,2.568685341215960349e+01
7.667873284449875371e+01,2.568685341215960349e+01
7.668706567788764517e+01,2.568685341215960349e+01
7.669539851127652241e+01,2.971216821479794490e+01
7.670373134466539966e+01,2.971216821479794490e+01
7.671206417805429112e+01,2.971216821479794490e+01
7.672039701144316837e+01,2.971216821479794490e+01
7.672872984483205983e+01,3.224132876221341348e+01
7.673706267822093707e+01,3.224132876221341348e+01
7.674539551160981432e+01,3.224132876221341348e+01
7.675372834499870578e+01,3.224132876221341348e+01
7.676206117838758303e+01,3.396796334768394843e+01
7.677039401177647449e+01,3.396796334768394843e+01
7.677872684516535173e+01,3.396796334768394843e+01
7.678705967855422898e+01,3.396796334768394843e+01
7.679539251194312044e+01,3.473749085184626040e+01
7.680372534533199769e+01,3.473749085184626040e+01
7.681205817872087493e+01,3.473749085184626040e+01
7.682039101210976639e+01,3.473749085184626040e+01
7.682872384549864364e+01,3.422129024868320357e+01
7.683705667888753510e+01,3.422129024868320357e+01
7.684538951227641235e+01,3.422129024868320357e+01
7.685372234566528959e+01,3.422129024868320357e+01
7.686205517905418105e+01,3.248079128230109092e+01
7.687038801244305830e+01,3.248079128230109092e+01
7.687872084583194976e+01,3.248079128230109092e+01
7.688705367922082701e+01,3.248079128230109092e+01
7.689538651260970425e+01,2.998073851229952069e+01
7.690371934599859571e+01,2.998073851229952069e+01
7.691205217938747296e+01,2.998073851229952069e+01
7.692038501277635021e+01,2.998073851229952069e+01
7.692871784616524167e+01,2.644499737928882865e+01
7.693705067955411891e+01,2.644499737928882865e+01
7.694538351294301037e+01,2.644499737928882865e+01
7.695371634633188762e+01,2.644499737928882865e+01
7.696204917972076487e+01,2.181200714301881760e+01
7.697038201310965633e+01,2.181200714301881760e+01
7.697871484649853357e+01,2.181200714301881760e+01
7.698704767988742503e+01,2.181200714301881760e+01
7.699538051327630228e+01,1.743380307948243413e+01
7.700371334666517953e+01,1.743380307948243413e+01
7.701204618005407099e+01,1.743380307948243413e+01
7.702037901344294824e+01,1.743380307948243413e+01
7.702871184683182548e+01,1.260739454627179512e+01
7.703704468022071694e+01,1.260739454627179512e+01
7.704537751360959419e+01,1.260739454627179512e+01
7.705371034699848565e+01,1.260739454627179512e+01
7.706204318038736290e+01,7.984655106451710616e+00
7.707037601377624014e+01,7.984655106451710616e+00
7.707870884716513160e+01,7.984655106451710616e+00
7.708704168055400885e+01,7.984655106451710616e+00
7.709537451394290031e+01,4.275060957603952438e+00
7.710370734733177756e+01,4.275060957603952438e+00
7.711204018072065480e+01,4.275060957603952438e+00
7.712037301410954626e+01,4.275060957603952438e+00
7.712870584749842351e+01,5.105095547757767527e-01
7.713703868088730076e+01,5.105095547757767527e-01
7.714537151427619222e+01,5.105095547757767527e-01
7.715370434766506946e+01,5.105095547757767527e-01
7.716203718105396092e+01,-2.835045636356224197e+00
7.717037001444283817e+01,-2.835045636356224197e+00
7.717870284783171542e+01,-2.835045636356224197e+00
7.718703568122060688e+01,-2.835045636356224197e+00
7.719536851460948412e+01,-5.019098531749218495e+00
7.720370134799837558e+01,-5.019098531749218495e+00
7.721203418138725283e+01,-5.019098531749218495e+00
7.722036701477613008e+01,-5.019098531749218495e+00
7.722869984816502154e+01,-6.058581414229569084e+00
7.723703268155389878e+01,-6.058581414229569084e+00
7.724536551494277603e+01,-6.058581414229569084e+00
7.725369834833166749e+01,-6.058581414229569084e+00
7.726203118172054474e+01,-5.947038287048972194e+00
7.727036401510943620e+01,-5.947038287048972194e+00
7.727869684849831344e+01,-5.947038287048972194e+00
7.728702968188719069e+01,-5.947038287048972194e+00
7.729536251527608215e+01,-4.529476074725136137e+00
7.730369534866495940e+01,-4.529476074725136137e+00
